# Time (s), x1 , y1 , z1 , x2 , y2 , z2 , x3 , y3 , z3 , xc , yc , zc 
0.000000000000000000e+00,4.999999999999999994e-15,0.000000000000000000e+00,0.000000000000000000e+00,-2.499999999999999997e-15,4.330126999999999768e-15,0.000000000000000000e+00,-2.499999999999999997e-15,-4.330126999999999768e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,2.577418369616281107e+48,1.546675766394328767e+35,6.161387735902353624e+30,-5.367234953079099937e+47,-5.145284074005965781e+48,1.348231633573177867e+33,3.763793383452366510e+48,-2.836778447840606620e+48,4.116269484170305452e+33,-3.582450204131605408e+57,-2.960816975793551085e+36,-6.371459214941945856e+18
2.000000000000000042e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000062e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000083e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000104e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000125e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000146e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000167e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000001055e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.099999999999999936e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200000000000000025e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300000000000000114e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400000000000000029e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.499999999999999944e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600000000000000033e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700000000000000122e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.800000000000000211e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.899999999999999953e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.100000000000000130e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.199999999999999872e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.299999999999999961e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.400000000000000050e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.500000000000000139e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.600000000000000228e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.699999999999999969e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.800000000000000058e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.900000000000000147e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.999999999999999889e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.099999999999999978e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.200000000000000067e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.300000000000000155e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.400000000000000244e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.500000000000000333e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.600000000000000422e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.699999999999999817e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.799999999999999906e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.899999999999999994e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000083e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.100000000000000172e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.200000000000000261e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.300000000000000350e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.399999999999999745e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.499999999999999833e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.599999999999999922e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.700000000000000011e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.800000000000000100e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.900000000000000189e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000278e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.100000000000000366e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200000000000000455e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.299999999999999850e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.399999999999999939e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.500000000000000028e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.600000000000000117e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.700000000000000205e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.800000000000000294e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
